Energy Grid,Fitness_1,Fitness_2,Fitness_3
"(9, 19, 67, 74, 88, 89, 94, 95, 130)",0.13080306047129242,0.11516796248369121,0.13917939410901325
"(3, 9, 13, 19, 88, 89, 94, 95, 130)",0.14619693684577273,0.05287307908305616,0.1489806709254511
"(9, 13, 19, 78, 88, 89, 94, 97, 139)",0.09663016414274872,0.06373336098466786,0.19948704992990585
"(9, 19, 67, 78, 88, 89, 94, 97, 123)",0.09536661810810687,0.11524496799506556,0.2031254568180736
"(22, 78, 88, 89, 91, 94, 95, 97, 122)",0.07630623663727976,0.20606513086093825,0.2273479169446323
"(3, 9, 13, 21, 87, 90, 94, 95, 130)",0.1993977745964831,0.04889710097195932,0.17820238026737234
"(9, 19, 71, 73, 88, 89, 94, 96, 122)",0.11895869480211285,0.11541341457264387,0.1346561606823682
"(3, 9, 13, 21, 71, 73, 88, 89, 130)",0.15834472258460952,0.0489808753903086,0.14784951272821734
"(3, 9, 13, 21, 87, 91, 94, 95, 125)",0.1851339652948787,0.04887062346782478,0.1892735765652963
"(9, 13, 21, 75, 88, 89, 94, 95, 125)",0.12344690307675155,0.05972394681673465,0.15709163284702332
"(3, 9, 13, 21, 48, 88, 89, 97, 122)",0.1341484892656527,0.04846214922954084,0.22282597893424383
"(3, 9, 13, 21, 70, 75, 94, 95, 124)",0.26087723466660295,0.048859829556128775,0.1631720534437131
"(9, 19, 71, 73, 88, 89, 94, 95, 124)",0.12553706151503652,0.11536536112082274,0.10532119595033673
"(6, 7, 9, 13, 22, 88, 89, 94, 95)",0.26741455160404237,0.035590934875234126,0.17392711953887663
"(9, 19, 69, 88, 89, 94, 95, 98, 135)",0.1116596709847274,0.11533617854200606,0.15919996483288912
"(9, 19, 69, 74, 88, 89, 94, 95, 133)",0.13163528604971642,0.11529585114326524,0.1244323409035748
"(9, 19, 69, 74, 88, 89, 94, 95, 125)",0.12490817233054119,0.11527205245959515,0.12591785073600936
"(21, 71, 75, 88, 89, 94, 95, 97, 125)",0.09858688161400886,0.20167446596696936,0.17066296967056238
"(9, 13, 19, 71, 73, 88, 89, 97, 125)",0.1240089381765942,0.06367231927264128,0.15061043136121022
"(9, 19, 65, 74, 88, 89, 94, 97, 130)",0.1042748102361013,0.11504852931804244,0.193335854466695
"(3, 9, 13, 21, 78, 88, 89, 97, 122)",0.11489536171151149,0.04895244263426923,0.22624416062239716
"(19, 71, 73, 88, 89, 94, 95, 99, 133)",0.11788448207494218,0.20603113978532217,0.14168458948262397
"(3, 9, 13, 21, 71, 74, 94, 95, 122)",0.26411336077158065,0.04890573202160342,0.15236889073691695
"(9, 13, 19, 71, 88, 89, 94, 95, 125)",0.12826975143369002,0.0636421575630739,0.144494970630753
"(6, 7, 9, 13, 19, 23, 71, 73, 125)",0.3026134341099842,0.02546797893977404,0.19333680458440794
"(9, 13, 19, 88, 89, 94, 95, 97, 125)",0.11486592196890111,0.06373449830005129,0.1546356144375084
"(9, 19, 70, 73, 88, 89, 94, 95, 122)",0.12338583852460494,0.11534621122217703,0.11640768695983639
"(9, 13, 21, 78, 88, 89, 94, 97, 122)",0.09356899937532193,0.0597712069181614,0.2070150590479013
"(3, 6, 7, 9, 13, 21, 94, 95, 131)",0.36646800728528184,0.02525236266169928,0.20145008430780487
"(6, 7, 9, 13, 21, 74, 88, 89, 125)",0.14801904074633054,0.03291505394436023,0.21618924769110193
"(6, 7, 9, 13, 21, 88, 94, 95, 124)",0.23115612552376452,0.03285369177670927,0.19995534352919897
"(9, 19, 70, 77, 88, 89, 94, 97, 124)",0.09610303576304247,0.115369843800041,0.18866540135443133
"(9, 13, 21, 68, 76, 88, 89, 97, 124)",0.11949241682109368,0.05965910887240333,0.19444686047237536
"(3, 9, 13, 21, 65, 76, 88, 89, 122)",0.14023357921466006,0.04879205303711254,0.2032690845061188
"(9, 19, 71, 73, 88, 89, 94, 97, 130)",0.1055139609686706,0.11540035643716473,0.14666831535459368
"(3, 6, 7, 9, 13, 21, 88, 89, 124)",0.16239283143357353,0.025291134567512197,0.21390641664356047
"(9, 13, 21, 47, 88, 89, 94, 95, 125)",0.13751937948976323,0.059189224976464394,0.15439222453916635
"(9, 19, 68, 74, 88, 89, 94, 97, 130)",0.1042748102361013,0.11525523986254893,0.17759885914240703
"(9, 13, 21, 70, 73, 88, 89, 94, 95)",0.2512144088692808,0.05998647496007137,0.11978720074772475
"(3, 9, 13, 21, 88, 89, 94, 95, 122)",0.1372435933784356,0.048915119743518476,0.1559488312657492
"(3, 9, 13, 19, 71, 73, 88, 89, 130)",0.15834472258460952,0.052843652326546975,0.1462572404665743
"(9, 13, 19, 71, 73, 87, 94, 95, 124)",0.2191601030817364,0.06363943055962207,0.1324810784978312
"(9, 18, 28, 78, 88, 89, 94, 97, 122)",0.09356888809281239,0.10540919758490042,0.22349470889559708
"(9, 22, 78, 88, 89, 94, 95, 97, 122)",0.09235604468034975,0.14389782285537944,0.1981416331661705
"(9, 19, 69, 75, 88, 89, 94, 95, 125)",0.12344690307675155,0.11524478815793571,0.13280410031737533
"(9, 13, 19, 71, 73, 87, 94, 95, 137)",0.2266380922137955,0.06367419662567242,0.12974121634682023
"(9, 19, 69, 73, 88, 89, 94, 95, 135)",0.13156197712860795,0.1153128672411522,0.12315680354313463
